"ID","TIME","RPM","TORQUE","POWER","PEAK_PEAK_PFS"
"1","2018-08-27 10:40:57","0","0","0","0"
"2","2018-08-27 10:45:51","0","0","0","0"
"3","2018-08-27 10:48:06","0","0","0","0"
"4","2018-08-27 10:48:28","0","0","0","0"
"5","2018-08-27 10:51:05","0","0","0","0"
"6","2018-08-27 10:55:50","0","0","0","0"
"7","2018-08-27 11:00:50","0","0","0","0"
"8","2018-08-27 11:05:50","0","0","0","0"
"9","2018-08-27 11:10:50","0","0","0","0"
"10","2018-08-27 11:15:50","0","0","0","0"
"11","2018-08-27 11:20:50","0","0","0","0"
"12","2023-10-26 01:48:40","0","0","0","0"
"13","2023-10-26 01:57:56","0","0","0","0"
"14","2023-10-26 02:02:56","0","0","0","0"
"15","2023-10-26 02:07:56","0","0","0","0"
"16","2023-10-26 02:20:55","0","0","0","0"
"17","2023-10-26 02:25:55","0","0","0","0"
"18","2023-10-26 02:30:55","0","0","0","0"
"19","2023-10-26 02:35:55","0","0","0","0"
"20","2023-10-26 02:40:55","0","0","0","0"
"21","2023-10-26 02:45:55","0","0","0","0"
"22","2023-10-26 02:50:55","0","0","0","0"
"23","2023-10-26 02:55:55","0","0","0","0"
"24","2023-10-26 03:00:55","0","0","0","0"
"25","2023-10-26 03:05:55","0","0","0","0"
"26","2023-10-26 03:10:55","0","0","0","0"
"27","2023-10-26 03:15:55","0","0","0","0"
"28","2023-10-26 03:20:55","0","0","0","0"
"29","2023-10-26 03:25:55","0","0","0","0"
"30","2023-10-26 03:30:55","0","0","0","0"
"31","2023-10-26 03:35:55","0","0","0","0"
"32","2023-10-26 03:40:55","0","0","0","0"
"33","2023-10-26 03:45:55","0","0","0","0"
"34","2023-10-26 03:50:55","0","0","0","0"
"35","2023-10-26 03:55:55","0","0","0","0"
"36","2023-10-26 04:00:55","0","0","0","0"
"37","2023-10-26 04:05:55","0","0","0","0"
"38","2023-10-26 04:10:55","0","0","0","0"
"39","2023-10-26 04:15:55","0","0","0","0"
"40","2023-10-26 04:20:55","0","0","0","0"
"41","2023-10-26 04:25:55","0","0","0","0"
"42","2023-10-26 04:30:55","0","0","0","0"
"43","2023-10-26 04:35:55","0","0","0","0"
"44","2023-10-26 04:40:55","0","0","0","0"
"45","2023-10-26 04:45:55","0","0","0","0"
"46","2023-10-26 04:50:55","0","0","0","0"
"47","2023-10-26 04:55:55","0","0","0","0"
"48","2023-10-26 05:00:55","0","0","0","0"
"49","2023-10-26 05:05:55","0","0","0","0"
"50","2023-10-26 05:10:55","0","0","0","0"
"51","2023-10-26 05:15:55","0","0","0","0"
"52","2023-10-26 05:20:55","0","0","0","0"
"53","2023-10-26 05:25:55","0","0","0","0"
"54","2023-10-26 05:30:55","0","0","0","0"
"55","2023-10-26 05:35:55","0","0","0","0"
"56","2023-10-26 05:40:55","0","0","0","0"
"57","2023-10-26 05:45:55","0","0","0","0"
"58","2023-10-26 05:50:55","0","0","0","0"
"59","2023-10-26 05:55:55","0","0","0","0"
"60","2023-10-26 06:00:55","0","0","0","0"
"61","2023-10-26 06:05:55","0","0","0","0"
"62","2023-10-26 06:10:55","0","0","0","0"
"63","2023-10-26 06:15:55","0","0","0","0"
"64","2023-10-26 06:20:55","0","0","0","0"
"65","2023-10-26 06:25:55","0","0","0","0"
