"ID","TIME","MEAN_POWER","MEAN_TWIST","DUST_FACT_A","DUST_FACT_B","DUST_FACT_C","DUST_FACT_D","ECF_A","ECF_B","ECF_C","ECF_D","MIN_T_WIDTH_A","MIN_T_WIDTH_B","MIN_T_WIDTH_C","MIN_T_WIDTH_D","MAX_T_WIDTH_A","MAX_T_WIDTH_B","MAX_T_WIDTH_C","MAX_T_WIDTH_D","TOTALIZER_1","TOTALIZER_2","TOTALIZER_3","TOTALIZER_4","TOTALIZER_5","TOTALIZER_6","TOTALIZER_7","TOTALIZER_8","TOTALIZER_9","MEAN_ORBIT_OFFS_W1","MEAN_ORBIT_OFFS_W2","ORBIT_OFFS_PP_W1","ORBIT_OFFS_PP_W2","ORBIT_WARNING","BUZZER_OVERRIDE_FLAG","STRESS_AMP_CNTR","STRESS_CUSTOM_LIM_CNTR1","STRESS_CUSTOM_LIM_CNTR2"
"1","2018-08-27 10:42:59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",\N,\N,\N,\N
"2","2018-08-27 10:47:59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",\N,\N,\N,\N
"3","2018-08-27 10:42:58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",\N,\N,\N,\N
"4","2018-08-27 10:47:58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",\N,\N,\N,\N
"5","2018-08-27 10:52:58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",\N,\N,\N,\N
"6","2018-08-27 10:57:58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",\N,\N,\N,\N
"7","2018-08-27 11:02:58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",\N,\N,\N,\N
"8","2018-08-27 11:07:58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",\N,\N,\N,\N
"9","2018-08-27 11:12:58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",\N,\N,\N,\N
"10","2018-08-27 11:17:58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",\N,\N,\N,\N
