packet_id,time,rpm,torque,power,peak_peak_pfs
2,0.00,0.00,0.00,0.00,0.00
1733980546,12.88,276.00,372.24,45.77,0.00
1733980546,16.84,330.40,582.85,34.39,0.00
1733980546,34.66,419.20,1521.52,66.32,0.00
1733980546,32.60,388.00,1324.69,49.14,0.00
1733980546,36.70,416.80,1602.01,36.31,0.00
1733980546,46.38,130.40,633.42,35.95,0.00
1733980546,33.72,545.60,1926.45,50.86,0.00
1733980546,36.03,183.20,691.32,21.76,0.00
1733980546,70.68,350.40,2593.78,39.98,0.00
1733980546,43.67,509.60,2330.53,32.66,0.00
1733980546,114.64,482.40,5791.59,12.32,0.00
1733980546,50.11,146.40,768.20,13.11,0.00
1733980546,112.34,555.20,6531.91,12.41,0.00
1733980546,112.72,185.60,2190.88,4.10,0.00
1733980546,93.96,255.20,2511.16,-0.93,0.00
1733980546,114.04,171.20,2044.64,-5.80,0.00
1733980546,36.03,306.40,1156.20,-6.59,0.00
1733980546,33.12,400.00,1387.42,-18.75,0.00
1733980546,87.29,283.20,2588.94,-20.39,0.00
1733980546,83.73,539.20,4728.13,-19.18,0.00
1733980546,77.62,133.60,1085.94,-25.89,0.00
1733980546,78.30,311.20,2551.80,-17.99,0.00
1733980546,53.36,340.00,1900.02,-53.83,0.00
1733980546,17.95,406.40,764.14,-44.06,0.00
1733980546,58.25,259.20,1581.23,-23.14,0.00
1733980546,52.14,87.20,476.15,-37.07,0.00
1733980546,14.07,294.40,433.78,-69.72,0.00
1733980546,23.21,299.20,727.17,-71.85,0.00
1733980546,4.52,313.60,148.31,-28.71,0.00
1733980546,4.41,287.20,132.57,-54.95,0.00
1733980546,-4.09,500.80,-214.31,-73.87,0.00
1733980546,-14.04,362.40,-532.83,-62.21,0.00
1733980546,-10.99,322.40,-371.00,-39.64,0.00
1733980546,-31.92,322.40,-1077.77,-47.76,0.00
1733980546,-54.43,190.40,-1085.32,-25.11,0.00
1733980546,-67.29,264.80,-1866.01,-31.38,0.00
1733980546,-27.53,396.00,-1141.85,-45.88,0.00
1733980546,-32.33,91.20,-308.73,-23.23,0.00
1733980546,-72.65,413.60,-3146.92,-48.37,0.00
1733980546,-42.55,276.00,-1229.88,-20.12,0.00
1733980546,-29.63,109.60,-340.13,-29.91,0.00
1733980546,-76.04,118.40,-942.88,-26.05,0.00
1733980546,-70.42,368.80,-2719.75,-21.51,0.00
1733980546,-87.98,459.20,-4230.83,-15.39,0.00
1733980546,-117.26,496.00,-6090.69,-7.07,0.00
1733980546,-70.99,455.20,-3384.37,-0.55,0.00
1733980546,-85.67,148.00,-1327.83,3.67,0.00
1733980546,-67.79,81.60,-579.30,10.44,0.00
1733980546,-120.82,96.00,-1214.72,7.09,0.00
1733980546,-117.58,396.00,-4876.12,26.84,0.00
1733980546,-76.86,479.20,-3857.19,28.11,0.00
1733980546,-104.87,484.00,-5315.33,32.71,0.00
1733980546,-51.00,359.20,-1918.57,45.70,0.00
1733980546,-43.04,448.80,-2022.81,34.72,0.00
1733980546,-70.07,119.20,-874.71,53.51,0.00
1733980546,-28.08,114.40,-336.47,33.39,0.00
1733980546,-57.15,159.20,-952.75,22.14,0.00
1733980546,-33.65,270.40,-952.86,26.90,0.00
1733980546,-19.84,468.80,-973.97,48.01,0.00
1733980546,-22.22,508.00,-1182.32,44.25,0.00
1733980546,-5.82,313.60,-191.02,45.84,0.00
1733980546,1.80,192.00,36.17,52.99,0.00
1733980546,4.78,540.80,270.63,51.65,0.00
1733980546,19.15,527.20,1057.05,63.48,0.00
1733980546,35.83,393.60,1476.79,63.67,0.00
1733980546,24.70,251.20,649.67,54.86,0.00
1733980546,37.55,85.60,336.64,53.03,0.00
1733980546,44.54,213.60,996.33,41.60,0.00
1733980546,20.37,448.00,955.54,29.40,0.00
1733980546,42.28,163.20,722.62,50.66,0.00
1733980546,63.49,515.20,3425.75,41.37,0.00
1733980546,45.92,459.20,2208.46,31.04,0.00
1733980546,28.76,148.00,445.74,16.23,0.00
1733980546,105.06,236.80,2605.28,16.99,0.00
1733980546,50.33,144.80,763.24,10.30,0.00
1733980546,45.46,89.60,426.53,8.74,0.00
